query,page,clicks,impressions,ctr,position
高年齢求職者給付金 計算ツール,https://shitugyoukyufu.com/calculator.html,2,72,0.027778,14.542
失業保険 バイト 日数 ごまかす,https://shitugyoukyufu.com/parttime.html,1,27,0.037037,6.889
失業手当 バイト 4時間未満 計算,https://shitugyoukyufu.com/parttime.html,1,1,1,20
65 才 以上 の 失業 保険,https://shitugyoukyufu.com/elder.html,0,1,0,62
65 歳 以上 の 失業 保険,https://shitugyoukyufu.com/elder.html,0,4,0,67.25
65 歳 以上 の 失業 保険 と 年金,https://shitugyoukyufu.com/elder.html,0,1,0,54
65 歳 以上 失業 保険,https://shitugyoukyufu.com/elder.html,0,3,0,71
65 歳 失業 保険,https://shitugyoukyufu.com/elder.html,0,2,0,64.5
65歳 失業給付,https://shitugyoukyufu.com/elder.html,0,1,0,70
65歳以上 の失業保険,https://shitugyoukyufu.com/elder.html,0,1,0,61
65歳以上の失業給付金はいくら です か,https://shitugyoukyufu.com/elder.html,0,1,0,51
65歳以上失業保険,https://shitugyoukyufu.com/elder.html,0,1,0,60
あなたの給付金ガイド 詐欺,https://shitugyoukyufu.com/scam.html,0,4,0,9.5
よく調べて,https://shitugyoukyufu.com/parttime.html,0,1,0,6
アルバイト 失業保険,https://shitugyoukyufu.com/parttime.html,0,1,0,95
ハローワーク 65 歳 以上 雇用,https://shitugyoukyufu.com/teinengo.html,0,1,0,29
ハローワーク 高齢者雇用,https://shitugyoukyufu.com/teinengo.html,0,1,0,27
ハローワーク65歳以上雇用,https://shitugyoukyufu.com/teinengo.html,0,4,0,29.75
働きながら失業保険,https://shitugyoukyufu.com/parttime.html,0,1,0,75
再 雇用 給付 金,https://shitugyoukyufu.com/keizoku.html,0,1,0,68
厚生労働省 特定理由離職者 給付制限 なし,https://shitugyoukyufu.com/tokutei.html,0,1,0,30
失業 保険 65 歳,https://shitugyoukyufu.com/elder.html,0,1,0,85
失業 保険 65 歳 以上,https://shitugyoukyufu.com/elder.html,0,2,0,75
失業 保険 70 歳 以上 自己 都合,https://shitugyoukyufu.com/elder.html,0,2,0,65
失業 保険 の 計算,https://shitugyoukyufu.com/calculator.html,0,1,0,91
失業 保険 アルバイト 4 時間 以上,https://shitugyoukyufu.com/parttime.html,0,1,0,35
失業 保険 バイト,https://shitugyoukyufu.com/parttime.html,0,1,0,85
失業 保険 高齢 者,https://shitugyoukyufu.com/elder.html,0,4,0,58.75
失業 手当 計算,https://shitugyoukyufu.com/calculator.html,0,1,0,95
失業 給付 シュミレーション,https://shitugyoukyufu.com/calculator.html,0,3,0,70.333
失業保険 4時間未満 損,https://shitugyoukyufu.com/parttime.html,0,8,0,26.25
失業保険 70歳以上 自己都合,https://shitugyoukyufu.com/elder.html,0,1,0,25
失業保険 アルバイト 4時間以上,https://shitugyoukyufu.com/parttime.html,0,15,0,36.933
失業保険 アルバイト いくらまで,https://shitugyoukyufu.com/parttime.html,0,68,0,22.574
失業保険 アルバイト いくらまで 計算,https://shitugyoukyufu.com/parttime.html,0,1,0,23
失業保険 スケジュール シミュレーション,https://shitugyoukyufu.com/calculator.html,0,1,0,77
失業保険 スケジュール 自動計算 2023,https://shitugyoukyufu.com/calculator.html,0,1,0,44
